PdDistrict,X,Y
RICHMOND,-122.466204667893,37.7725405391593
SOUTHERN,-122.403404791479,37.775420706711
TENDERLOIN,-122.409660751795,37.7864394524764
MISSION,-122.417955821717,37.7578801214437
CENTRAL,-122.410699657634,37.7869881885308
CENTRAL,-122.410699657634,37.7869881885308
CENTRAL,-122.410699657634,37.7869881885308
MISSION,-122.417817852676,37.7578884408086
SOUTHERN,-122.388379873919,37.7833104067015
SOUTHERN,-122.388379873919,37.7833104067015
SOUTHERN,-122.388379873919,37.7833104067015
SOUTHERN,-122.388379873919,37.7833104067015
SOUTHERN,-122.388379873919,37.7833104067015
SOUTHERN,-122.388379873919,37.7833104067015
SOUTHERN,-122.403404791479,37.775420706711
SOUTHERN,-122.403404791479,37.775420706711
SOUTHERN,-122.388379873919,37.7833104067015
SOUTHERN,-122.388379873919,37.7833104067015
SOUTHERN,-122.388379873919,37.7833104067015
SOUTHERN,-122.388379873919,37.7833104067015
CENTRAL,-122.405941469147,37.7904631779771
CENTRAL,-122.407114491118,37.7899019822508
TENDERLOIN,-122.411747371924,37.7859988323798
NORTHERN,-122.426508142005,37.7859342571796
RICHMOND,-122.470190415901,37.7808757916602
NORTHERN,-122.41799760821,37.7769551138436
TARAVAL,-122.478349616026,37.7513339691629
MISSION,-122.415781281593,37.7588312134679
MISSION,-122.41796448376,37.7586968166489
RICHMOND,-122.45886061567,37.7812550935484
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
SOUTHERN,-122.400916029025,37.7854574902997
TARAVAL,-122.475484629626,37.7383655655476
CENTRAL,-122.408231026261,37.787359494956
NORTHERN,-122.418467747931,37.7879652569797
NORTHERN,-122.418467747931,37.7879652569797
MISSION,-122.417812558787,37.7571005796428
MISSION,-122.417812558787,37.7571005796428
MISSION,-122.415929849548,37.7604330003754
MISSION,-122.415929849548,37.7604330003754
NORTHERN,-122.418467747931,37.7879652569797
NORTHERN,-122.418467747931,37.7879652569797
MISSION,-122.415929849548,37.7604330003754
MISSION,-122.414693065257,37.7588955947572
NORTHERN,-122.418467747931,37.7879652569797
MISSION,-122.415929849548,37.7604330003754
NORTHERN,-122.418467747931,37.7879652569797
NORTHERN,-122.418467747931,37.7879652569797
MISSION,-122.415929849548,37.7604330003754
MISSION,-122.415929849548,37.7604330003754
CENTRAL,-122.418467747931,37.7879652569797
CENTRAL,-122.418467747931,37.7879652569797
NORTHERN,-122.418467747931,37.7879652569797
CENTRAL,-122.418467747931,37.7879652569797
NORTHERN,-122.418467747931,37.7879652569797
NORTHERN,-122.418467747931,37.7879652569797
MISSION,-122.419360352761,37.7618358012376
MISSION,-122.419360352761,37.7618358012376
MISSION,-122.418486296575,37.7634954373144
MISSION,-122.415929849548,37.7604330003754
MISSION,-122.415929849548,37.7604330003754
MISSION,-122.415929849548,37.7604330003754
MISSION,-122.415929849548,37.7604330003754
MISSION,-122.415929849548,37.7604330003754
MISSION,-122.415929849548,37.7604330003754
MISSION,-122.415929849548,37.7604330003754
NORTHERN,-122.418467747931,37.7879652569797
CENTRAL,-122.409876622532,37.787148807979
CENTRAL,-122.418467747931,37.7879652569797
MISSION,-122.415929849548,37.7604330003754
MISSION,-122.415929849548,37.7604330003754
MISSION,-122.415929849548,37.7604330003754
MISSION,-122.415929849548,37.7604330003754
MISSION,-122.415929849548,37.7604330003754
NORTHERN,-122.418368839165,37.7874861572271
NORTHERN,-122.418467747931,37.7879652569797
NORTHERN,-122.41827417166,37.7870372043685
MISSION,-122.426635076963,37.7549624153696
MISSION,-122.41733258259,37.7635718955893
BAYVIEW,-122.383433948755,37.7297381449981
MISSION,-122.417812558787,37.7571005796428
MISSION,-122.412502863675,37.7590272974496
CENTRAL,-122.406775392392,37.7884982866148
CENTRAL,-122.408403859899,37.7882933915158
MISSION,-122.40546657618,37.7646048756593
MISSION,-122.41796448376,37.7586968166489
NORTHERN,-122.417903977564,37.7851670875517
CENTRAL,-122.409876622532,37.787148807979
MISSION,-122.412173946265,37.7629167766586
MISSION,-122.411090794581,37.7617009781734
MISSION,-122.403409085175,37.7531779938926
MISSION,-122.417660640341,37.7555043420028
MISSION,-122.414233849038,37.7540986882068
BAYVIEW,-122.395565262125,37.7626384173116
BAYVIEW,-122.385001533619,37.7330708173682
NORTHERN,-122.441811628041,37.7990019436809
RICHMOND,-122.469628050956,37.7817199969291
TARAVAL,-122.504883710633,37.7530422085728
TARAVAL,-122.481592052499,37.7427355500502
